
Command,Description
+vcs+initreg+1,"Initializes all variables, registers and memories to value 1. | +vcs+initreg+1. Usage % simv +vcs+initreg+config+config_file Example Consider the following example: vcs test.v +vcs+initreg+random simv +vcs+initreg+config+config.txt %cat config.txt module mid 0 tree top.m2.b1 0 0 instance top.m1.b1 1 modtree leaf 1 1 +vcs+loopdetect+number Enables the detection of zero delay loops. When +vcs+loopdetect+number is not specified at compile time, VCS does the following • If +vcs+loopdetect is specified at runtime, VCS checks if a simulation event loops for 2,000,000 times (by default) in the same simulation time tick, and issues a runtime error message. VCS also terminates the simulation. • If +vcs+loopdetect+N is specified at runtime, VCS checks if the simulation event loops for 'N' times and issues a runtime error message. VCS also terminates the simulation. Note: The +vcs+loopdetect and +vcs+loopreport options are mutually exclusive. It is recommended not to use both the options at the same time. Usage % simv +vcs+loopdetect+number Example Consider the following example: vcs test.v +vcs+loopdetect simv +vcs+loopdetect+100000 module dummy(); top t1(); endmodule module top(); reg A,B; initial A=1; always @* A= ~B; always @* B=A; endmodule Output Error-[INFL_SIM] Infinite loop in simulation Detected an infinite loop in the simulation at time 0. +vcs+loopreport+number Reports the zero delay loops. you can override the threshold number at runtime. When +vcs+loopreport+number is specified at compile time, VCS does the following +vcs+loopreport+number • If +vcs+loopreport is specified at runtime, VCS checks if a simulation event loops +vcs+loopreport for 2,000,000 times (by default) in the same simulation time tick, and issues a runtime warning message. VCS also terminates the simulation and generates a report when a zero delay loop is detected. • If +vcs+loopreport+N is specified at runtime, VCS checks if the simulation event loops for 'N' times and issues a runtime warning message. VCS also terminates the simulation. Note: The +vcs+loopdetect and +vcs+loopreport options are mutually exclusive. It is recommended not to use both the options at the same time. Usage % simv +vcs+loopreport+number Example Consider the following example: vcs test.v +vcs+loopreport simv +vcs+loopreport+20000 module dummy(); top t1(); endmodule module top(); reg A,B; initial A=1; always @* A= ~B; always @* B=A; Output VCS Loop Detection: Switching loop detection algorithm ON at time 0 delta-cycles exceeded the threshold-limit. Possible zero delay loop(s). Error-[VCS_LOOP_DETECTED] Infinite loop in simulation Detected an infinite loop in the simulation at time 0. Details written to ""loop-info-46283.log, loop-info-verbose-46283.log"". %cat loop-info-46283.log ========================================================== SIMULATION TIME: 0 ======================Loop no.=1========================= Module             : top Instance (Signals) : dummy.t1 ( A ) File           : /remote/us01home59/nusri/loopreport/test.v 8-9, Loop occurs within the module top %cat loop-info-verbose-46283.log ####################################################### SIMULATION TIME: 0 #################Loop no. 1############################ Constr   : Always Module   : top Instance : dummy.t1 /remote/us01home59/nusri/loopreport/test.v : 8-9. (signal: A) --------------------------------------------------------- Constr   : Always Module   : top Instance : dummy.t1 /remote/us01home59/nusri/loopreport/test.v : 8-9. (signal: A) --------------------------------------------------------- +vcs+nostdout Disables all text output from VCS, including messages and text from $monitor and $display and other system tasks for only the Verilog portion of the design. VCS still writes -l-l[-] Usage % simv +vcs+nostdout Example vcs test.v {other_vcs_options] simv +vcs+nostdout +vcs+stop+time works if the time value you specify is less than 2^32 or 4,294,967,296. Usage % simv +vcs+stop+time For time values greater than 2^32, you must follow a special procedure that uses two +vcs+stop+<first argument>+<second argument> Example simv +vcs+stop+1410065408+2 If you want a time value of 10,000,000,000 (10 billion): 1. Divide the large time value by 2^32. In this example: 2. Narrow down this quotient to the nearest whole number. This whole number is the second argument. In this example, you would narrow down to 2. 3. Multiply 2^32 with the second argument (that is, 2), and then subtract the obtained result from the large time value (that is, subtract 2 X 2^32 from the large time value), as shown below: 10,000,000,000-(2*4,294,967,296)=(1,410,065,408) This difference is the first argument. You now have the first and second argument. Therefore, in this example, to specify +vcs+stop+1410065408+2 -xlrm gd_pulseprop VCS propagates a gate pulse, even when the pulse width is equal to the gate delay. Usage % simv -xlrm gd_pulseprop Example Consider the following Verilog code: module dut(qout,dinA,dinB); output qout; input dinA; input dinB; xor #10 inst(qout,dinA,dinB); endmodule delay, VCS always propagates the pulse as shown below: 0 qout=x, dinA=1 dinB=1 10 qout=0, dinA=0 dinB=1 20 qout=1, dinA=0 dinB=0 30 qout=0, dinA=0 dinB=1 40 qout=1, dinA=0 dinB=0 50 qout=0, dinA=0 dinB=0 -xlrm gd_pulsewarn VCS generates a warning when it detects that the width of a pulse is identical to the gate delay. Usage % simv -xlrm gd_pulsewarn Example Consider the following Verilog code: module dut(qout,dinA,dinB); output qout; input dinA; input dinB; xor #10 inst(qout,dinA,dinB); endmodule delay, VCS generates the following warning message: 0 qout=x, dinA=1 dinB=1 Warning-[PWIWGD] Pulse Width Identical With Gate Delay verilogfile.v, 42 top.mid_inst.dut_inst At time 10, pulse width identical with gate delay ""10"" is detected 10 qout=0, dinA=0 dinB=1 20 qout=1, dinA=0 dinB=0 -xlrm hier_inst_seed Uses instance-specific initialization seeds for random number generators of modules, programs, interfaces, and packages. The default flow uses the same initialization seed across all instances. diagnostics are reported in an ASCII text file named HierInstanceSeed.txt. This file is generated in the current working directory and cannot be renamed during simulation. You The diagnostics report file captures the seed values used for each module instance. Usage % simv -xlrm hier_inst_seed Example Consider the following example: example: module top (); son son1 (); son son2 (); son son3 (); endmodule module son (); initial $display(""%m SEED = %d"", $urandom()); endmodule Output %simv     -xlrm hier_inst_seed top.son1 SEED = 2384297078 top.son2 SEED = 3389395885 top.son3 SEED = 1089914581 4 Partition Compile Options This section describes the following:"
+vcs+initreg+100,"Initializes all variables, registers and memories to random value 0 or 1, with the user-defined seed 100.Note: The seed_value cannot be 1 or 0. Those values have special meanings. Usage % simv +vcs+initreg+0|1|random|seed_value Example Consider the following example: module top; reg a; reg [3:0]b; initial begin $monitor(""Time:%0t a:%b b:%0b"",$time,a,b); #1 a=1; end endmodule vcs test.v +vcs+initreg+ranodm simv +vcs+initreg+0 Output Time:0 a:0 b:0 Time:1 a:1 b:0 +vcs+initreg+config+config_file Specifies a configuration file for initializing Verilog variables, registers defined in sequential UDPs, and memories including multi-dimensional arrays (MDAs) in your design at time zero. In the configuration file, you can define the parts of a design to apply the initialization and the initialization values of the variables. and runtime, the configuration file specified at runtime overrides the configuration file at compile time. compile time is overridden and the entire design is initialized. values as defined in the configuration file. If the +vcs+initreg+0|1|random and +vcs+initreg+config+config_file options are +vcs+initreg+random|+vcs+initreg+config+config_file message is issued. The following table describes the initialization options at runtime:"
+vcs+initreg+seed_value,random initial values as defined in runtime configuration file.
-partcomp,"Enables partition compile. Applies autopartitioning to both modules and SystemVerilog packages. -partcomp=autopart_low Applies autopartitioning to both modules and packages with a low threshold, which results in smaller and more numerous partitions."
-partcomp=autopartdbg,"Creates the vcs_partition_config.file file, which contains the along with any of the other autopartitioning options to create this configuration file."
-fastpartcomp=j<N>,Enables the parallel compilation of partitions.
-simcopy,"When the -simcopy compile-time options are used along with -partcomp_sharedlib, it enables VCS TurboCompile flow (by reusing existing partitions) and also enables relocatable run the simulation in parallel for multiple user environments."
-simcopy_opts=mv,moves the reusable partitions from the directory specified with -partcomp_sharedlib to simv.dadir/partitionlib.
-hsopt=hsimsdfic,"To break the DUT into multiple partitions, support for manual partitions for designs that have SDF interconnect delays across partitions has been added. This allows you to specify explicit partitions to the DUT to achieve better turnaround time."
-partcomp=incr_clean,"partition to save the disk space. -partcomp SystemVerilog packages. Usage %vcs -partcomp -fastpartcomp=j<N> -top topcfg [other options] Example %vcs -partcomp -fastpartcomp=j8 -top topcfg topcfg.v top.v test.v \ add_mult.v [other options] -partcomp=autopart_low Applies autopartitioning to both modules and packages with a low threshold, which results in smaller and more numerous partitions. Usage %vcs -partcomp=autopart_low -fastpartcomp=j<N> -top topcfg [other options] Example %vcs -partcomp=autopart_low -fastpartcomp=j8 -top topcfg topcfg.v top.v test.v \ add_mult.v [other options] -partcomp=autopart_high Applies autopartitioning to both modules and packages with a high threshold, which results in larger and fewer partitions. Usage %vcs -partcomp=autopart_high -fastpartcomp=j<N> -top topcfg [other options] Example %vcs -partcomp=autopart_high -fastpartcomp=j8 -top topcfg topcfg.v top.v test.v \ add_mult.v [other options] -partcomp=autopart_relax -partcomp=autopart_high gives less balanced partitions. It relaxes the partitioning with a high threshold to get maximum gain in turnaround time. Usage %vcs -partcomp=autopart_relax -fastpartcomp=j<N> -top topcfg [other options] Example %vcs -partcomp=autopart_relax -fastpartcomp=j8 -top topcfg topcfg.v top.v test.v \ add_mult.v [other options] -partcomp=autopartdbg Creates the vcs_partition_config.file file, which contains the design partitioning options to create this configuration file. Usage %vcs -partcomp=autopartdbg -fastpartcomp=j<N> -top topcfg [other options] Example %vcs -partcomp=autopartdbg -fastpartcomp=j8 -top topcfg topcfg.v top.v test.v \ add_mult.v [other options] -partcomp=nomodautopart,nopkgautopart Disables autopartitioning of modules and packages. You can use the nomodautopart and nopkgautopart options individually also. Usage %vcs -partcomp=nomodautopart,nopkgautopart -fastpartcomp=j<N> -top topcfg [other options] Example %vcs -partcomp=nomodautopart -fastpartcomp=j8 -top topcfg [other options] %vcs -partcomp=nopkgautopart -fastpartcomp=j8 -top topcfg [other options] -partcomp_dir=<dir_name> Generates partition information in the specified directory. Usage %vcs -partcomp -partcomp_dir=<dir_name> -fastpartcomp=j<N> [other options] Example vcs test -partcomp -partcomp_dir=common_dir -fastpartcomp=j8 [other options] -partcomp_sharedlib=<dir_name> Reuses the existing partition information from the specified partition database and recompiles only the modified design-specific partitions. Usage %vcs -partcomp -partcomp_sharedlib=<dir_name> -fastpartcomp=j<N> [other options] Example vcs test -partcomp -partcomp_sharedlib=../common_dir -fastpartcomp=j8 [other options] -partcomp=modpart_limit:N Limits the module partitions to the specified number. Usage %vcs -partcomp=modpart_limit:N -fastpartcomp=j<N> [other options] Example %vcs -partcomp=modpart_limit:5 -fastpartcomp=j8 [other options] -partcomp=gen_xmr_config=top_module Generates configuration file that contains the XMR information of the design. Usage % vcs <options> -fastpartcomp=j<N> -partcomp=gen_xmr_config=top_module Example % vcs -fastpartcomp=j4 -partcomp=gen_xmr_config=top_module -fastpartcomp=j<N> Enables the parallel compilation of partitions using N cores. Usage vcs <filename1> <filename2> <filename3> -partcomp -fastpartcomp=j<N> [other options] Examples\ vcs top.v test.v add_mult.v -partcomp -fastpartcomp=j4 [other options] This command allows the compilation of a maximum of 4 partitions in parallel on a 4 core (or above) machine. -simcopy When the -simcopy compile-time options are used along with -partcomp_sharedlib, it enables VCS Turbo Compile flow (by reusing existing partitions) and also enables simulation in parallel for multiple user environments. specified with -partcomp_dir) into the simv.daidir/partitionlib directory. In the subsequent partitions, only the partitions shared from the partition library which is specified with -partcomp_sharedlib are copied into the simv.daidir/partitionlib directory in your current working area. Usage % vcs -partcomp -simcopy -fastpartcomp=j<N> Example % vcs -partcomp -simcopy -fastpartcomp=j4 This command moves the partition library, partitionlib directory into the simv.daidir directory and ensures that the complete content is relocatable. Also, enables this directory to be used in the relocatable compilation -simcopy_opts=mv -partcomp_sharedlib to simv.dadir/partitionlib. Usage % vcs -partcomp -fastpartcomp=j -simcopy -simcopy_opts=mv -partcomp_sharedlib=<dir_name> Example % vcs -partcomp -fastpartcomp=j4 -simcopy -simcopy_opts=mv -partcomp_sharedlib=../common_dir -hsopt=hsimsdfic To break the DUT into multiple partitions, support for manual partitions for designs that have SDF interconnect delays across partitions has been added. This allows you to specify explicit partitions to the DUT to achieve better turnaround time. Usage % vcs <filename> -sverilog -fastpartcomp=j<N> +optconfigfile+basic_cfg -partcomp -hsopt=hsimsdfic Example % vcs test.v -sverilog -fastpartcomp=j4 +optconfigfile+basic_cfg -partcomp -hsopt=hsimsdfic -hsopt=uphierarchyic Usage $vcs <filename> -sverilog -full64 -fastpartcomp=j<N> +optconfigfile +test.cfg -partcomp -hsopt=uphierarchyic Example $vcs test.v -sverilog -full64 -fastpartcomp=j4 +optconfigfile+test.cfg -partcomp -hsopt=uphierarchyic -partcomp=incr_clean During incremental elaboration, due to a change in the design, Partition Compile generates a new partition, making the old partition redundant. The Usage %vcs -sverilog -full64 <file_name> -partcomp -partcomp=incr_clean +optconfigfile+<config_file> Example vcs -sverilog -full64 test.sv -partcomp -partcomp=incr_clean +optconfigfile+test.cfg 5 Profiler Options This section describes the following:"
-simprofile,"The unified simulation profiler reports the amount of CPU time and machine memory used by the Verilog, SystemVerilog, and VHDL profile data. | simulation. | This argument tells VCS to collect profile information at runtime noreport                but not write the profileReport.html file or the profileReport directory after simulation. | no-altstack | allow-user-sigaltst ack -simprofile The unified simulation profiler reports the amount of CPU time and machine memory used by the Verilog, SystemVerilog, and VHDL parts of the design. At runtime, enter the data VCS collects during the simulation. Usage Example %> simv -simprofile fastmem You can use the fastmem argument when you are working on a large design and want to perform memory profiling faster in comparison to the default mem argument. -simprofile time The time argument specifies collecting CPU time profile information. Usage %> simv -simprofile time Example %> simv -simprofile time -simprofile mem The mem argument specifies collecting machine memory profile information. Usage %> simv -simprofile mem Example %> simv -simprofile mem -simprofile fastmem Using the fastmem argument, the tool collects the memory profile information in an optimized manner which reduces the time taken in memory profiling. Usage %> simv -simprofile fastmem Example %> simv -simprofile fastmem You can use the fastmem argument when you are working on a large design and want to perform memory profiling faster in comparison to the default mem argument. -simprofile noprof Usage %> simv -simprofile noprof Example %> simv -simprofile noprof -simprofile noreport Tells VCS to collect profile information at runtime but not write the profileReport.html file or the profileReport directory after simulation. Usage %> simv -simprofile noreport Example %> simv -simprofile noreport -simprofile_dir_path By default, VCS creates the profile database and the directory named simprofile_dir that contains all the profile information gathered during simulation, in the directory that contains the simv executable. You can specify a different directory for the profile database Usage % simv -simprofile time|mem -simprofile_dir_path <directory_path> Example % simv -simprofile time -simprofile_dir_path /tmp/SUBDIR1 -simprofile_report By default, VCS writes the profile report named profileReport.html and the corresponding profileReport directory that contains the profile report information. You name for this file and directory. Usage % simv -simprofile time|mem -simprofile_report <file_and_directory_name> Example % simv -simprofile mem -simprofile_report memory_rprt_default_constraints This example creates the following profile report and report directory named memory_rprt_default_constraints.html file and memory_rprt_default_constraints directory respectively. -simprofile no-altstack VCS simulation profiler sets up the signal stack size for sampling to 256 KB. If the simulation runs with any external application that lowers this stack size, specify the Usage % simv -simprofile time|mem -simprofile no-altstack Example % simv -simprofile mem -simprofile no-altstack -simprofile allow-user-sigaltstack VCS simulation profiler sets up the signal stack size for sampling to 256 KB. If the simulation runs with any external application that lowers this stack size, specify the stack. Usage % simv -simprofile time|mem -simprofile allow-user-sigaltstack Example % simv -simprofile time -simprofile allow-user-sigaltstack 6 Diagnostics Options This section describes the following :"
